"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"L5VCDWFS","book","1977","","Negotiations, social-psychological perspectives","","978-0-8039-0829-1","","","","","1977","2025-04-28 20:05:15","2025-04-28 20:05:43","","","416","","","","","","","","","","Sage Publications","Beverly Hills","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/1342101","interlibrary","Negotiation","Druckman, Daniel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUK8DPER","book","1993","Pruitt, Dean G.; Carnevale, Peter J.","Negotiation in social conflict","","978-0-534-20689-5","","","","","1993","2025-04-28 20:07:04","2025-04-28 20:07:19","","","251","","","","","","Mapping social psychology","","","","Brooks/Cole Pub. Co","Pacific Grove, Calif","","","","","","Library Catalog (Blacklight)","BF637.N4 P79 1993","","","","https://catalog.libraries.psu.edu/catalog/1770182","interlibrary","Negotiation; Social conflict","","","","","","","","","","","","","","","","","","","","U.S. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZBR9T5B","book","1976","Murphy, Lois Barclay; Moriarty, Alice Ewell","Vulnerability, coping, and growth: from infancy to adolescence","","978-0-300-01901-8","","","","","1976","2025-04-28 20:07:45","2025-04-28 20:07:53","","","460","","","","","Vulnerability, coping, and growth","","","","","Yale University Press","New Haven","","","","","","Library Catalog (Blacklight)","BF721 .M863 1976","","","","https://catalog.libraries.psu.edu/catalog/632666","interlibrary","Child psychology; Longitudinal studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KYC4TI3","book","2007","Nelson, Katherine","Young minds in social worlds: experience, meaning, and memory","","978-0-674-02335-2","","","","","2007","2025-04-28 20:08:15","2025-04-28 20:08:35","","","315","","","","","Young minds in social worlds","","","","","Harvard University Press","Cambridge, Mass","","","","","","Library Catalog (Blacklight)","BF721 .N42 2007","","","","https://catalog.libraries.psu.edu/catalog/3655828","interlibrary","Child psychology; Psychology, Child","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMTJN6AP","book","1987","","Critical theories of psychological development","","978-0-306-42431-1","","","","","1987","2025-04-28 20:09:12","2025-04-28 20:09:19","","","313","","","","","","PATH in psychology","","","","Plenum Press","New York","","","","","","Library Catalog (Blacklight)","BF722 .C73 1987","","","","https://catalog.libraries.psu.edu/catalog/1364268","interlibrary","Child psychology; Philosophy","Broughton, John M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWQNJDYH","book","1980","Fadely, Jack L.; Hosler, Virginia N.","Developmental psychometrics: a resources book for mental health workers and educators","","978-0-398-04056-7 978-0-398-04057-4","","","","","1980","2025-04-28 20:09:35","2025-04-28 20:09:58","","","158","","","","","Developmental psychometrics","","","","","C. C. Thomas","Springfield, Ill","","","","","","Library Catalog (Blacklight)","BF722 .F32","","","","https://catalog.libraries.psu.edu/catalog/777253","interlibrary","Educational tests and measurements; Psychological tests for children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96U87FZ5","webpage","","LTD, Scotwork UK","The Psychology of Negotiation","Scotwork","","","","https://www.scotwork.co.uk/thought-leadership/the-psychology-of-negotiation/","Negotiation is a tricky business. At its heart, this is a discussion and the chance for two parties to come together with purpose. Negotiating involves many subtle skills, even in a purely professional and business setting. Good negotiators constantly seek out new ideas and knowledge. This strategy helps them gain the upper hand in negotiations as they apply their expertise in a practical setting. The art of psychology can tell us so much about other people and can be used during the negotiation process to identify how the people across the table from you feel and what their mindset might be like.","","2025-04-28 20:12:00","2025-04-28 20:12:11","2025-04-28 20:12:00","","","","","","","","","","","","","","en-GB","","","","","","","","","C:\Users\Mohid\Zotero\storage\QJ9USM3Y\the-psychology-of-negotiation.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A8K9BAP9","webpage","","","The Psychology of Negotiation: Building Win-Win Relationships","","","","","https://www.redbearnegotiation.com/blog/psychology-of-negotiation","Understanding the psychology and motivations behind certain negotiation behaviors is a key to success.","","2025-04-28 20:12:29","2025-04-28 20:12:37","2025-04-28 20:12:29","","","","","","","The Psychology of Negotiation","","","","","","","en-us","","","","","","","","","C:\Users\Mohid\Zotero\storage\CPXE3E7T\psychology-of-negotiation.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6Z6CAHC","webpage","2024","Mclean, Georgie","Four Psychological Tactics for Effective Negotiation","ENS","","","","https://negotiate.org/four-psychological-tactics-for-effective-negotiation/","Learn the four psychological tactics for effective negotiation through our recent article.","2024-05-03","2025-04-28 20:12:53","2025-04-28 20:13:01","2025-04-28 20:12:53","","","","","","","","","","","","","","en-AU","","","","","","","","","C:\Users\Mohid\Zotero\storage\FF7Y955S\four-psychological-tactics-for-effective-negotiation.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPPXUAAN","blogPost","2024","Cooper, Colin","The Psychology of Negotiation: Strategies for Effective Communication and Conflict Resolution in…","Medium","","","","https://medium.com/@colin-cooper/the-psychology-of-negotiation-strategies-for-effective-communication-and-conflict-resolution-in-303939138759","Are you dealing with conflicts and challenges in your workplace that require effective communication and conflict resolution skills? If so…","2024-01-19","2025-04-28 20:13:19","2025-04-28 20:13:27","2025-04-28 20:13:19","","","","","","","The Psychology of Negotiation","","","","","","","en","","","","","","","","","C:\Users\Mohid\Zotero\storage\2G4EKDQ5\the-psychology-of-negotiation-strategies-for-effective-communication-and-conflict-resolution-in.html","","web","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
